[train] t= 54000 | LossPi=-550.3552 | PiEntropy=-1.0372 | Alpha= 0.8491 | MinQ= 622.8652 | QcPiCVaR= 14.9368 | QcPi= 14.5305 | QcPiVar= 4.9482| BatchCostMean= 0.1788 | BatchCostMax= 0.9271 | BatchCostNZ= 0.4844| WinRewMean= 8116.5252 | WinCostMean= 0.1488 | Beta= 4.7955
[train] t= 55000 | LossPi=-551.9440 | PiEntropy=-1.0308 | Alpha= 0.8516 | MinQ= 626.8741 | QcPiCVaR= 15.1288 | QcPi= 14.7221 | QcPiVar= 4.9442| BatchCostMean= 0.1734 | BatchCostMax= 0.7519 | BatchCostNZ= 0.4570| WinRewMean= 7131.8739 | WinCostMean= 0.1501 | Beta= 4.8948
[train] t= 56000 | LossPi=-545.2141 | PiEntropy=-0.9189 | Alpha= 0.8817 | MinQ= 620.7726 | QcPiCVaR= 14.9675 | QcPi= 14.5552 | QcPiVar= 5.3392| BatchCostMean= 0.1690 | BatchCostMax= 0.9146 | BatchCostNZ= 0.4570| WinRewMean= 7411.4331 | WinCostMean= 0.1577 | Beta= 4.9940
[train] t= 57000 | LossPi=-548.2917 | PiEntropy=-0.9965 | Alpha= 0.8591 | MinQ= 625.5536 | QcPiCVaR= 15.0012 | QcPi= 14.5969 | QcPiVar= 4.8176| BatchCostMean= 0.1448 | BatchCostMax= 0.7491 | BatchCostNZ= 0.3984| WinRewMean= 6959.9526 | WinCostMean= 0.1598 | Beta= 5.0933
[train] t= 58000 | LossPi=-548.2794 | PiEntropy=-1.0615 | Alpha= 0.8647 | MinQ= 627.5797 | QcPiCVaR= 15.0954 | QcPi= 14.6804 | QcPiVar= 5.3942| BatchCostMean= 0.1579 | BatchCostMax= 0.7570 | BatchCostNZ= 0.4375| WinRewMean= 9017.2464 | WinCostMean= 0.1176 | Beta= 5.1925
[train] t= 59000 | LossPi=-557.9648 | PiEntropy=-0.9325 | Alpha= 0.8690 | MinQ= 637.4148 | QcPiCVaR= 14.8613 | QcPi= 14.4417 | QcPiVar= 5.5216| BatchCostMean= 0.1542 | BatchCostMax= 0.8638 | BatchCostNZ= 0.4258| WinRewMean= 8415.0050 | WinCostMean= 0.1300 | Beta= 5.2916
[train] t= 60000 | LossPi=-555.5422 | PiEntropy=-1.1582 | Alpha= 0.8218 | MinQ= 634.8456 | QcPiCVaR= 14.5344 | QcPi= 14.1084 | QcPiVar= 5.9976| BatchCostMean= 0.1540 | BatchCostMax= 0.8683 | BatchCostNZ= 0.4258| WinRewMean= 7631.5643 | WinCostMean= 0.1507 | Beta= 5.3908
[train] t= 61000 | LossPi=-550.7767 | PiEntropy=-1.1288 | Alpha= 0.8703 | MinQ= 633.2492 | QcPiCVaR= 14.8435 | QcPi= 14.4393 | QcPiVar= 5.1751| BatchCostMean= 0.1480 | BatchCostMax= 0.8702 | BatchCostNZ= 0.4102| WinRewMean= 7558.5708 | WinCostMean= 0.1600 | Beta= 5.4899
[train] t= 62000 | LossPi=-554.1360 | PiEntropy=-0.8637 | Alpha= 0.8740 | MinQ= 638.1420 | QcPiCVaR= 14.8947 | QcPi= 14.5018 | QcPiVar= 4.6824| BatchCostMean= 0.1583 | BatchCostMax= 0.9170 | BatchCostNZ= 0.4648| WinRewMean= 8237.3244 | WinCostMean= 0.1388 | Beta= 5.5893
[train] t= 63000 | LossPi=-557.0868 | PiEntropy=-1.0435 | Alpha= 0.8284 | MinQ= 640.9267 | QcPiCVaR= 14.5867 | QcPi= 14.1678 | QcPiVar= 5.6898| BatchCostMean= 0.1441 | BatchCostMax= 0.9226 | BatchCostNZ= 0.4062| WinRewMean= 7365.0596 | WinCostMean= 0.1375 | Beta= 5.6884
