Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
32	2054.7695	322.5057	2939.2688	1720.1143	2116843.0	298796.06	2942915.8	1876476.4	16.816582	2.2616215	23.331417	11.717816	15.889435	2.2590055	19.332079	12.239137	288.0	288.0	0.0	0.0	65808.766	0.06647350063131313	960001.0	581.3317	58.274113	867.67474	479.8432	581.33295	58.265606	870.7137	480.5352	6.013308	0.30204132	7.479059	4.229337	1.0002362	1.0341119	10.142288	-12.360046	-467.57074	79.26672	79.30484	0.0053164163	-0.00014038756	0.10315299	1.1089587	-0.033072285	2.9269028	18.669992	-1.0002362	0.3162086	260.42935	8233.451771497726
33	2095.6	374.09204	2949.1846	1716.014	2122146.2	310238.2	2979802.8	1839894.6	16.691732	1.9510162	21.798508	12.645731	13.210422	1.262833	15.241749	11.601822	288.0	288.0	0.0	0.0	67543.414	0.06621903339460784	990001.0	579.901	58.25895	867.9837	480.6538	579.9013	58.252186	869.12665	480.2039	6.0153403	0.29549247	7.3794255	4.238391	0.99994546	1.0348446	6.2688603	-15.049282	-465.38574	78.87221	78.91035	0.0052052974	0.00018440223	0.11117525	1.117906	-0.076694585	2.9330888	18.786701	-0.99994504	4.660013	263.74762	8497.209376573563
34	2133.3838	377.89484	2924.335	1670.9441	2216968.0	420400.3	3074226.2	1786199.9	16.539326	2.2554038	21.192614	10.321558	15.543547	1.6721914	18.528898	12.443032	288.0	288.0	0.0	0.0	69270.57	0.06597197172619047	1020001.0	580.05646	58.010197	862.30194	478.77142	580.0572	58.006653	866.78955	479.0081	6.007385	0.2977171	7.426393	4.2712336	1.0000706	1.0431314	4.6350927	-10.766395	-467.93066	79.75735	79.812965	0.005330292	5.2543306e-05	0.0865654	1.0907608	0.045267805	2.9129782	18.414148	-1.000071	0.32534814	256.25546	8753.456006765366
35	2066.8887	347.42838	2938.1926	1656.3705	2108893.5	295585.34	2901345.8	1864090.8	16.48271	1.9601928	22.421644	12.032682	16.836971	1.0994141	18.623348	15.519135	288.0	288.0	0.0	0.0	70988.81	0.06573038194444444	1050001.0	580.4071	58.000034	863.9905	481.58322	580.40753	57.993862	865.46094	479.25977	6.0015173	0.29301485	7.3466063	4.2426476	1.0002753	1.0360903	9.850447	-10.63323	-466.712	79.95015	79.99877	0.005260437	-0.00018304246	0.10964537	1.116331	0.10763753	2.9275582	18.684677	-1.0002753	22.755571	283.5132	9036.972702741623
36	2118.9033	382.1364	2979.3281	1705.0563	2238255.2	341838.06	3096857.2	1996979.2	16.828508	2.0835552	22.160505	11.36117	19.053267	2.5403328	21.870995	14.5139265	288.0	288.0	0.0	0.0	72739.836	0.06553138372747748	1080001.0	580.2385	57.510284	865.92426	481.78757	580.2386	57.504395	869.132	479.52026	6.0055966	0.28939155	7.421923	4.2566295	0.9998573	1.0411748	10.568911	-11.167596	-467.83154	78.760124	78.85167	0.005293792	0.00028680993	0.0970108	1.1022023	-0.025855333	2.9153032	18.455324	-0.9998573	1.4585679	240.22324	9277.192683458328
37	2105.2693	347.2129	2914.522	1738.6432	2247719.5	546017.25	3113067.0	1827707.4	16.399845	1.8950651	21.128553	12.04767	12.828524	1.5436598	15.366047	10.278185	288.0	288.0	0.0	0.0	74448.09	0.06530534539473684	1110001.0	580.2219	57.461845	864.7546	481.88055	580.22266	57.455814	867.16644	479.59302	6.003598	0.28673032	7.2456913	4.20214	0.9999928	1.0417001	5.9113054	-11.332245	-466.4316	78.61205	78.699936	0.005301895	0.00012435978	0.099052906	1.1044765	-0.017627751	2.9278743	18.68818	-0.9999928	0.3159957	260.93402	9538.147380590439
38	2095.1228	359.6589	2978.7004	1709.9899	2174930.0	368298.4	2888008.8	1791168.1	16.48478	2.0902417	21.906553	12.136847	13.812521	1.7491999	17.088453	11.003392	288.0	288.0	0.0	0.0	76164.516	0.06509787660256411	1140001.0	580.54956	57.647015	867.13184	479.42212	580.5498	57.644444	867.7694	479.9866	6.000582	0.2881351	7.2096443	4.190971	1.0003461	1.0401165	4.293809	-12.176206	-467.23242	79.08843	79.15016	0.005316496	-0.00025431512	0.10097401	1.1066277	0.013433394	2.9239743	18.61572	-1.0003458	18.155678	278.83252	9816.959730863571
39	2108.8506	369.54428	2937.8374	1743.6421	2111939.5	156875.42	2457832.5	1975072.2	16.507313	2.0565221	22.542725	10.392905	15.739179	2.0104694	17.991606	10.574327	288.0	288.0	0.0	0.0	77882.69	0.06490223958333333	1170001.0	581.2311	57.87302	867.9804	480.41592	581.231	57.864857	868.4007	479.05478	6.002892	0.2832566	7.164677	4.2931266	1.0000498	1.0401627	5.797413	-11.731196	-468.18323	79.34464	79.44505	0.0052606845	6.532313e-05	0.10541069	1.111523	-0.04084878	2.920996	18.561672	-1.0000497	0.28654385	243.33005	10060.297423124313
40	2134.0205	371.8863	2938.042	1734.6228	2396162.5	434553.53	3088999.8	1945494.2	16.842592	2.239693	21.43863	11.276717	15.091476	1.6229783	17.195395	11.520402	288.0	288.0	0.0	0.0	79639.52	0.0647475800304878	1200001.0	581.1814	57.66157	866.9853	482.02017	581.18146	57.656223	869.9924	477.56406	5.995063	0.28549784	7.14064	4.2530904	0.9997578	1.0481712	5.807507	-14.351685	-469.27167	78.82383	78.92555	0.0053395415	0.00038969962	0.09478776	1.0998702	0.09476421	2.9120932	18.39709	-0.9997586	0.30624604	260.68384	10320.972019433975
41	2211.3813	416.73447	2940.3748	1666.2839	2044192.4	87834.16	2224313.8	1883568.0	16.191597	2.2912285	22.534155	11.41223	16.224722	1.5724672	18.763077	13.590878	288.0	288.0	0.0	0.0	81324.49	0.06454324776785714	1230001.0	580.92847	58.201748	866.774	477.36917	580.9285	58.194958	869.6009	473.55023	6.0154896	0.28758177	7.4328375	4.27115	1.0001028	1.0355873	4.7062573	-11.899901	-468.44812	79.25222	79.37002	0.0052794856	6.308015e-06	0.114281274	1.1214721	-0.29086775	2.9133954	18.425388	-1.0001029	16.058558	276.0072	10596.979994058609
