[train] t= 35000 | LossPi=-477.1477 | PiEntropy=-1.1436 | Alpha= 0.8386 | PiEntTerm= 0.9591 | MinQ= 520.3304 | PiCostTerm= 42.2236 | QcPiCVaR= 11.3620 | QcPi= 8.5778 | QcPiRaw= 8.5775 | QcPiVar= 12.1864 | QcPiM2= 86.7629| BatchCostMean= 0.1158 | BatchCostMax= 0.7206 | BatchCostNZ= 0.4062 | Beta= 3.7162
[train] t= 36000 | LossPi=-482.0840 | PiEntropy=-1.1322 | Alpha= 0.8346 | PiEntTerm= 0.9449 | MinQ= 526.0317 | PiCostTerm= 43.0028 | QcPiCVaR= 11.2732 | QcPi= 8.4809 | QcPiRaw= 8.4806 | QcPiVar= 12.2583 | QcPiM2= 85.0710| BatchCostMean= 0.1199 | BatchCostMax= 0.7171 | BatchCostNZ= 0.4062 | Beta= 3.8146
[train] t= 37000 | LossPi=-489.5038 | PiEntropy=-1.1586 | Alpha= 0.8249 | PiEntTerm= 0.9557 | MinQ= 535.2236 | PiCostTerm= 44.7642 | QcPiCVaR= 11.4395 | QcPi= 8.6427 | QcPiRaw= 8.6425 | QcPiVar= 12.2979 | QcPiM2= 87.9475| BatchCostMean= 0.1281 | BatchCostMax= 0.7085 | BatchCostNZ= 0.4531 | Beta= 3.9131
[train] t= 38000 | LossPi=-479.5247 | PiEntropy=-1.2518 | Alpha= 0.8703 | PiEntTerm= 1.0894 | MinQ= 525.9708 | PiCostTerm= 45.3567 | QcPiCVaR= 11.3061 | QcPi= 8.5237 | QcPiRaw= 8.5234 | QcPiVar= 12.1724 | QcPiM2= 85.9836| BatchCostMean= 0.1536 | BatchCostMax= 0.7067 | BatchCostNZ= 0.4531 | Beta= 4.0117
[train] t= 39000 | LossPi=-487.8508 | PiEntropy=-0.6913 | Alpha= 0.8358 | PiEntTerm= 0.5778 | MinQ= 535.7228 | PiCostTerm= 47.2942 | QcPiCVaR= 11.5061 | QcPi= 8.7069 | QcPiRaw= 8.7066 | QcPiVar= 12.3203 | QcPiM2= 89.0750| BatchCostMean= 0.1285 | BatchCostMax= 0.7701 | BatchCostNZ= 0.4219 | Beta= 4.1104
[train] t= 40000 | LossPi=-489.1274 | PiEntropy=-0.7132 | Alpha= 0.8638 | PiEntTerm= 0.6161 | MinQ= 538.0287 | PiCostTerm= 48.2852 | QcPiCVaR= 11.4713 | QcPi= 8.6490 | QcPiRaw= 8.6488 | QcPiVar= 12.5220 | QcPiM2= 88.2378| BatchCostMean= 0.1178 | BatchCostMax= 0.7983 | BatchCostNZ= 0.4219 | Beta= 4.2092
[train] t= 41000 | LossPi=-484.8654 | PiEntropy=-0.9980 | Alpha= 0.8621 | PiEntTerm= 0.8604 | MinQ= 534.2932 | PiCostTerm= 48.5674 | QcPiCVaR= 11.2737 | QcPi= 8.4634 | QcPiRaw= 8.4631 | QcPiVar= 12.4161 | QcPiM2= 84.8909| BatchCostMean= 0.1273 | BatchCostMax= 1.0000 | BatchCostNZ= 0.4297 | Beta= 4.3080
[train] t= 42000 | LossPi=-484.4973 | PiEntropy=-1.1247 | Alpha= 0.8906 | PiEntTerm= 1.0016 | MinQ= 535.6127 | PiCostTerm= 50.1137 | QcPiCVaR= 11.3714 | QcPi= 8.5423 | QcPiRaw= 8.5420 | QcPiVar= 12.5849 | QcPiM2= 86.3976| BatchCostMean= 0.1303 | BatchCostMax= 0.9519 | BatchCostNZ= 0.4297 | Beta= 4.4070
[train] t= 43000 | LossPi=-491.7918 | PiEntropy=-1.2408 | Alpha= 0.8444 | PiEntTerm= 1.0477 | MinQ= 543.9723 | PiCostTerm= 51.1327 | QcPiCVaR= 11.3478 | QcPi= 8.5541 | QcPiRaw= 8.5539 | QcPiVar= 12.2718 | QcPiM2= 86.1330| BatchCostMean= 0.1081 | BatchCostMax= 0.9662 | BatchCostNZ= 0.3711 | Beta= 4.5059
[train] t= 44000 | LossPi=-475.6343 | PiEntropy=-1.1583 | Alpha= 0.8396 | PiEntTerm= 0.9725 | MinQ= 529.5690 | PiCostTerm= 52.9623 | QcPiCVaR= 11.5010 | QcPi= 8.7100 | QcPiRaw= 8.7098 | QcPiVar= 12.2482 | QcPiM2= 89.1144| BatchCostMean= 0.1569 | BatchCostMax= 0.7942 | BatchCostNZ= 0.5078 | Beta= 4.6050
