[train] t= 49000 | LossPi=-825.3973 | PiEntropy=-1.1357 | Alpha= 1.0842 | PiEntTerm= 1.2313 | MinQ= 832.2086 | PiCostTerm= 5.5801 | QcPiCVaR= 8.5447 | QcPi= 8.4339 | QcPiVar= 0.0193 | Beta= 0.6530
[train] t= 50000 | LossPi=-831.7408 | PiEntropy=-1.0637 | Alpha= 1.0871 | PiEntTerm= 1.1564 | MinQ= 838.9950 | PiCostTerm= 6.0977 | QcPiCVaR= 8.6199 | QcPi= 8.5142 | QcPiVar= 0.0175 | Beta= 0.7074
[train] t= 51000 | LossPi=-831.1337 | PiEntropy=-0.9486 | Alpha= 1.0840 | PiEntTerm= 1.0283 | MinQ= 838.7661 | PiCostTerm= 6.6042 | QcPiCVaR= 8.6375 | QcPi= 8.5373 | QcPiVar= 0.0158 | Beta= 0.7646
[train] t= 52000 | LossPi=-837.1685 | PiEntropy=-0.9529 | Alpha= 1.0993 | PiEntTerm= 1.0475 | MinQ= 845.3441 | PiCostTerm= 7.1282 | QcPiCVaR= 8.6464 | QcPi= 8.5514 | QcPiVar= 0.0142 | Beta= 0.8244
[train] t= 53000 | LossPi=-839.8727 | PiEntropy=-1.1539 | Alpha= 1.0790 | PiEntTerm= 1.2450 | MinQ= 848.8468 | PiCostTerm= 7.7291 | QcPiCVaR= 8.7153 | QcPi= 8.6250 | QcPiVar= 0.0128 | Beta= 0.8868
[train] t= 54000 | LossPi=-842.9414 | PiEntropy=-0.8638 | Alpha= 1.0355 | PiEntTerm= 0.8944 | MinQ= 852.1793 | PiCostTerm= 8.3434 | QcPiCVaR= 8.7671 | QcPi= 8.6809 | QcPiVar= 0.0117 | Beta= 0.9517
[train] t= 55000 | LossPi=-845.5069 | PiEntropy=-0.8948 | Alpha= 1.0891 | PiEntTerm= 0.9746 | MinQ= 855.4165 | PiCostTerm= 8.9350 | QcPiCVaR= 8.7708 | QcPi= 8.6882 | QcPiVar= 0.0107 | Beta= 1.0187
[train] t= 56000 | LossPi=-848.3535 | PiEntropy=-0.9830 | Alpha= 1.0822 | PiEntTerm= 1.0637 | MinQ= 858.9664 | PiCostTerm= 9.5493 | QcPiCVaR= 8.7769 | QcPi= 8.6990 | QcPiVar= 0.0095 | Beta= 1.0880
[train] t= 57000 | LossPi=-848.5524 | PiEntropy=-0.8429 | Alpha= 1.0958 | PiEntTerm= 0.9236 | MinQ= 859.7119 | PiCostTerm= 10.2358 | QcPiCVaR= 8.8249 | QcPi= 8.7511 | QcPiVar= 0.0086 | Beta= 1.1599
[train] t= 58000 | LossPi=-854.8442 | PiEntropy=-0.9972 | Alpha= 1.0781 | PiEntTerm= 1.0750 | MinQ= 866.8523 | PiCostTerm= 10.9330 | QcPiCVaR= 8.8612 | QcPi= 8.7909 | QcPiVar= 0.0078 | Beta= 1.2338
[train] t= 59000 | LossPi=-852.2067 | PiEntropy=-0.9661 | Alpha= 1.0911 | PiEntTerm= 1.0541 | MinQ= 864.8420 | PiCostTerm= 11.5814 | QcPiCVaR= 8.8423 | QcPi= 8.7754 | QcPiVar= 0.0070 | Beta= 1.3098
[train] t= 60000 | LossPi=-857.6526 | PiEntropy=-1.0318 | Alpha= 1.0564 | PiEntTerm= 1.0900 | MinQ= 871.1055 | PiCostTerm= 12.3629 | QcPiCVaR= 8.9069 | QcPi= 8.8434 | QcPiVar= 0.0063 | Beta= 1.3880
[train] t= 61000 | LossPi=-857.9382 | PiEntropy=-1.1321 | Alpha= 1.0577 | PiEntTerm= 1.1974 | MinQ= 872.1367 | PiCostTerm= 13.0011 | QcPiCVaR= 8.8581 | QcPi= 8.7975 | QcPiVar= 0.0058 | Beta= 1.4677
[train] t= 62000 | LossPi=-858.0294 | PiEntropy=-1.0663 | Alpha= 1.0640 | PiEntTerm= 1.1345 | MinQ= 872.9921 | PiCostTerm= 13.8282 | QcPiCVaR= 8.9292 | QcPi= 8.8711 | QcPiVar= 0.0053 | Beta= 1.5486
[train] t= 63000 | LossPi=-861.3152 | PiEntropy=-0.9643 | Alpha= 1.0663 | PiEntTerm= 1.0282 | MinQ= 877.0238 | PiCostTerm= 14.6804 | QcPiCVaR= 9.0004 | QcPi= 8.9457 | QcPiVar= 0.0047 | Beta= 1.6311
[train] t= 64000 | LossPi=-863.6460 | PiEntropy=-0.9999 | Alpha= 1.0730 | PiEntTerm= 1.0729 | MinQ= 880.1670 | PiCostTerm= 15.4481 | QcPiCVaR= 9.0014 | QcPi= 8.9494 | QcPiVar= 0.0042 | Beta= 1.7162
[train] t= 65000 | LossPi=-863.1857 | PiEntropy=-0.9993 | Alpha= 1.0703 | PiEntTerm= 1.0695 | MinQ= 880.4850 | PiCostTerm= 16.2299 | QcPiCVaR= 9.0068 | QcPi= 8.9564 | QcPiVar= 0.0040 | Beta= 1.8020
[train] t= 66000 | LossPi=-865.4537 | PiEntropy=-1.1118 | Alpha= 1.0917 | PiEntTerm= 1.2138 | MinQ= 883.6423 | PiCostTerm= 16.9747 | QcPiCVaR= 8.9887 | QcPi= 8.9408 | QcPiVar= 0.0036 | Beta= 1.8885
[train] t= 67000 | LossPi=-867.4382 | PiEntropy=-1.0287 | Alpha= 1.0945 | PiEntTerm= 1.1259 | MinQ= 886.3635 | PiCostTerm= 17.7994 | QcPiCVaR= 9.0078 | QcPi= 8.9622 | QcPiVar= 0.0033 | Beta= 1.9760
[train] t= 68000 | LossPi=-864.7068 | PiEntropy=-0.9378 | Alpha= 1.0963 | PiEntTerm= 1.0281 | MinQ= 884.3442 | PiCostTerm= 18.6093 | QcPiCVaR= 9.0133 | QcPi= 8.9700 | QcPiVar= 0.0029 | Beta= 2.0646
[train] t= 69000 | LossPi=-872.0211 | PiEntropy=-1.0888 | Alpha= 1.0640 | PiEntTerm= 1.1585 | MinQ= 892.6239 | PiCostTerm= 19.4443 | QcPiCVaR= 9.0264 | QcPi= 8.9853 | QcPiVar= 0.0027 | Beta= 2.1542
[train] t= 70000 | LossPi=-870.8455 | PiEntropy=-1.1276 | Alpha= 1.0668 | PiEntTerm= 1.2029 | MinQ= 892.3030 | PiCostTerm= 20.2547 | QcPiCVaR= 9.0216 | QcPi= 8.9825 | QcPiVar= 0.0024 | Beta= 2.2451
[train] t= 71000 | LossPi=-869.8035 | PiEntropy=-0.9258 | Alpha= 1.0690 | PiEntTerm= 0.9897 | MinQ= 891.9111 | PiCostTerm= 21.1180 | QcPiCVaR= 9.0376 | QcPi= 9.0001 | QcPiVar= 0.0022 | Beta= 2.3367
[train] t= 72000 | LossPi=-873.3707 | PiEntropy=-1.0852 | Alpha= 1.0922 | PiEntTerm= 1.1853 | MinQ= 896.4746 | PiCostTerm= 21.9186 | QcPiCVaR= 9.0245 | QcPi= 8.9891 | QcPiVar= 0.0020 | Beta= 2.4288
[train] t= 73000 | LossPi=-871.0945 | PiEntropy=-0.8031 | Alpha= 1.0558 | PiEntTerm= 0.8479 | MinQ= 894.7648 | PiCostTerm= 22.8223 | QcPiCVaR= 9.0507 | QcPi= 9.0170 | QcPiVar= 0.0018 | Beta= 2.5216
[train] t= 74000 | LossPi=-875.8445 | PiEntropy=-0.9552 | Alpha= 1.0405 | PiEntTerm= 0.9939 | MinQ= 900.4115 | PiCostTerm= 23.5731 | QcPiCVaR= 9.0152 | QcPi= 8.9832 | QcPiVar= 0.0016 | Beta= 2.6148
[train] t= 75000 | LossPi=-869.7135 | PiEntropy=-0.9329 | Alpha= 1.0797 | PiEntTerm= 1.0072 | MinQ= 895.2049 | PiCostTerm= 24.4842 | QcPiCVaR= 9.0404 | QcPi= 9.0105 | QcPiVar= 0.0014 | Beta= 2.7083
[train] t= 76000 | LossPi=-871.0262 | PiEntropy=-1.0572 | Alpha= 1.0379 | PiEntTerm= 1.0972 | MinQ= 897.4672 | PiCostTerm= 25.3437 | QcPiCVaR= 9.0438 | QcPi= 9.0154 | QcPiVar= 0.0013 | Beta= 2.8023
[train] t= 77000 | LossPi=-872.5983 | PiEntropy=-0.8589 | Alpha= 1.0826 | PiEntTerm= 0.9299 | MinQ= 899.7297 | PiCostTerm= 26.2015 | QcPiCVaR= 9.0455 | QcPi= 9.0184 | QcPiVar= 0.0012 | Beta= 2.8967
[train] t= 78000 | LossPi=-872.3194 | PiEntropy=-0.9575 | Alpha= 1.0611 | PiEntTerm= 1.0160 | MinQ= 900.2147 | PiCostTerm= 26.8793 | QcPiCVaR= 8.9856 | QcPi= 8.9598 | QcPiVar= 0.0010 | Beta= 2.9914
[train] t= 79000 | LossPi=-875.0715 | PiEntropy=-1.0367 | Alpha= 1.0706 | PiEntTerm= 1.1099 | MinQ= 903.9807 | PiCostTerm= 27.7993 | QcPiCVaR= 9.0066 | QcPi= 8.9821 | QcPiVar= 0.0009 | Beta= 3.0866
[train] t= 80000 | LossPi=-878.1724 | PiEntropy=-0.9587 | Alpha= 1.0503 | PiEntTerm= 1.0070 | MinQ= 907.8861 | PiCostTerm= 28.7067 | QcPiCVaR= 9.0206 | QcPi= 8.9974 | QcPiVar= 0.0008 | Beta= 3.1823
[train] t= 81000 | LossPi=-871.1445 | PiEntropy=-1.1058 | Alpha= 1.1022 | PiEntTerm= 1.2188 | MinQ= 901.8945 | PiCostTerm= 29.5312 | QcPiCVaR= 9.0084 | QcPi= 8.9864 | QcPiVar= 0.0008 | Beta= 3.2782
[train] t= 82000 | LossPi=-873.7595 | PiEntropy=-1.0245 | Alpha= 1.0585 | PiEntTerm= 1.0844 | MinQ= 905.1421 | PiCostTerm= 30.2982 | QcPiCVaR= 8.9791 | QcPi= 8.9581 | QcPiVar= 0.0007 | Beta= 3.3743
[train] t= 83000 | LossPi=-871.6027 | PiEntropy=-0.9874 | Alpha= 1.0833 | PiEntTerm= 1.0697 | MinQ= 903.8796 | PiCostTerm= 31.2072 | QcPiCVaR= 8.9909 | QcPi= 8.9710 | QcPiVar= 0.0006 | Beta= 3.4710
[train] t= 84000 | LossPi=-875.9988 | PiEntropy=-1.0267 | Alpha= 1.0523 | PiEntTerm= 1.0803 | MinQ= 909.2279 | PiCostTerm= 32.1488 | QcPiCVaR= 9.0112 | QcPi= 8.9922 | QcPiVar= 0.0006 | Beta= 3.5676
[train] t= 85000 | LossPi=-877.1844 | PiEntropy=-0.9844 | Alpha= 1.0693 | PiEntTerm= 1.0527 | MinQ= 911.2321 | PiCostTerm= 32.9951 | QcPiCVaR= 9.0042 | QcPi= 8.9863 | QcPiVar= 0.0005 | Beta= 3.6644
[train] t= 86000 | LossPi=-875.0420 | PiEntropy=-0.9102 | Alpha= 1.0590 | PiEntTerm= 0.9640 | MinQ= 909.6888 | PiCostTerm= 33.6828 | QcPiCVaR= 8.9547 | QcPi= 8.9375 | QcPiVar= 0.0005 | Beta= 3.7615
[train] t= 87000 | LossPi=-876.5247 | PiEntropy=-0.9740 | Alpha= 1.0520 | PiEntTerm= 1.0246 | MinQ= 912.0513 | PiCostTerm= 34.5020 | QcPiCVaR= 8.9410 | QcPi= 8.9249 | QcPiVar= 0.0004 | Beta= 3.8588
[train] t= 88000 | LossPi=-876.4066 | PiEntropy=-1.0169 | Alpha= 1.0482 | PiEntTerm= 1.0659 | MinQ= 912.8484 | PiCostTerm= 35.3759 | QcPiCVaR= 8.9420 | QcPi= 8.9266 | QcPiVar= 0.0004 | Beta= 3.9561
[train] t= 89000 | LossPi=-876.6121 | PiEntropy=-1.0902 | Alpha= 1.0569 | PiEntTerm= 1.1522 | MinQ= 913.8859 | PiCostTerm= 36.1216 | QcPiCVaR= 8.9110 | QcPi= 8.8964 | QcPiVar= 0.0003 | Beta= 4.0536
[train] t= 90000 | LossPi=-871.9948 | PiEntropy=-1.0225 | Alpha= 1.0741 | PiEntTerm= 1.0982 | MinQ= 910.1447 | PiCostTerm= 37.0518 | QcPiCVaR= 8.9254 | QcPi= 8.9115 | QcPiVar= 0.0003 | Beta= 4.1513
[train] t= 91000 | LossPi=-872.4929 | PiEntropy=-1.2516 | Alpha= 1.0808 | PiEntTerm= 1.3528 | MinQ= 911.6434 | PiCostTerm= 37.7977 | QcPiCVaR= 8.8960 | QcPi= 8.8828 | QcPiVar= 0.0003 | Beta= 4.2489
[train] t= 92000 | LossPi=-874.9401 | PiEntropy=-0.8604 | Alpha= 1.0840 | PiEntTerm= 0.9327 | MinQ= 914.7074 | PiCostTerm= 38.8346 | QcPiCVaR= 8.9343 | QcPi= 8.9218 | QcPiVar= 0.0002 | Beta= 4.3467
[train] t= 93000 | LossPi=-875.8491 | PiEntropy=-0.9427 | Alpha= 1.0487 | PiEntTerm= 0.9886 | MinQ= 916.2991 | PiCostTerm= 39.4613 | QcPiCVaR= 8.8789 | QcPi= 8.8670 | QcPiVar= 0.0002 | Beta= 4.4444
[train] t= 94000 | LossPi=-876.2974 | PiEntropy=-0.9319 | Alpha= 1.0462 | PiEntTerm= 0.9750 | MinQ= 917.6127 | PiCostTerm= 40.3404 | QcPiCVaR= 8.8814 | QcPi= 8.8698 | QcPiVar= 0.0002 | Beta= 4.5421
[train] t= 95000 | LossPi=-867.3754 | PiEntropy=-1.0499 | Alpha= 1.0553 | PiEntTerm= 1.1080 | MinQ= 909.6909 | PiCostTerm= 41.2076 | QcPiCVaR= 8.8801 | QcPi= 8.8694 | QcPiVar= 0.0002 | Beta= 4.6404
